radiosonde_id,year,nobs,lat,lon,year_first,year_last
AGM00060680,1990,892,22.8,5.4333,1934,2023
AGM00060680,1991,873,22.8,5.4333,1934,2023
AGM00060680,1992,1282,22.8,5.4333,1934,2023
AGM00060680,1993,1331,22.8,5.4333,1934,2023
AGM00060680,1994,1306,22.8,5.4333,1934,2023
AGM00060680,1995,1316,22.8,5.4333,1934,2023
AGM00060680,1996,1306,22.8,5.4333,1934,2023
AGM00060680,1997,1310,22.8,5.4333,1934,2023
AGM00060680,1998,1354,22.8,5.4333,1934,2023
AGM00060680,1999,989,22.8,5.4333,1934,2023
AGM00060680,2000,1200,22.8,5.4333,1934,2023
AGM00060680,2001,1342,22.8,5.4333,1934,2023
AGM00060680,2002,1382,22.8,5.4333,1934,2023
AGM00060680,2003,1326,22.8,5.4333,1934,2023
AGM00060680,2004,1384,22.8,5.4333,1934,2023
AGM00060680,2005,1407,22.8,5.4333,1934,2023
AGM00060680,2006,1421,22.8,5.4333,1934,2023
AGM00060680,2007,1411,22.8,5.4333,1934,2023
AGM00060680,2008,1080,22.8,5.4333,1934,2023
AGM00060680,2009,678,22.8,5.4333,1934,2023
AGM00060680,2010,644,22.8,5.4333,1934,2023
AGM00060680,2011,698,22.8,5.4333,1934,2023
AGM00060680,2012,729,22.8,5.4333,1934,2023
AGM00060680,2013,727,22.8,5.4333,1934,2023
AGM00060680,2014,685,22.8,5.4333,1934,2023
AGM00060680,2015,730,22.8,5.4333,1934,2023
AGM00060680,2016,550,22.8,5.4333,1934,2023
AGM00060680,2017,362,22.8,5.4333,1934,2023
AGM00060680,2018,365,22.8,5.4333,1934,2023
AGM00060680,2019,365,22.8,5.4333,1934,2023
AGM00060680,2020,231,22.8,5.4333,1934,2023
